words,00s,10s,20s,50s,60s,70s,80s,90s
carving,1,0,0,0,0,0,1,0
casanova,0,0,1,0,0,0,0,0
casbah,0,0,0,0,0,0,1,0
cascade,1,0,0,0,0,1,0,0
case,3,2,4,0,0,5,1,1
casey,0,0,1,0,0,0,0,0
cash,2,0,4,0,0,2,0,2
cashmere,0,0,0,0,0,0,0,1
casing,0,0,1,0,0,0,0,0
casino,1,0,0,0,0,0,0,0
cask,0,0,0,0,0,2,0,0
casket,0,0,1,0,0,0,0,0
cassadee,0,0,1,0,0,0,0,0
cassette,0,0,1,0,0,0,0,1
cassettesbaroness,0,0,0,0,0,0,1,0
cassie,0,0,1,0,0,0,0,0
cassy,0,0,1,0,0,0,0,0
cast,2,1,3,0,2,3,1,1
castaway,0,0,0,0,0,1,0,0
caste,1,0,0,0,0,0,0,0
castel,0,0,1,0,0,0,0,0
castigation,1,0,0,0,0,0,0,0
casting,1,0,3,0,0,0,0,0
castle,1,0,1,0,0,1,0,0
castletownroche,0,0,0,0,0,1,0,0
castries,1,0,0,0,0,0,0,0
castro,0,0,1,0,0,0,0,0
casual,1,0,0,0,0,1,0,0
casually,0,1,2,0,0,0,0,0
casualty,1,0,0,0,0,0,0,0
cat,3,0,4,0,2,5,2,1
cataiogue,0,0,0,0,0,0,0,1
catalogue,1,0,0,0,0,0,0,0
catapult,1,0,0,0,0,0,0,0
catarrh,1,0,0,0,0,0,0,0
catastrophe,1,0,0,0,0,0,0,0
catcall,0,0,0,0,0,1,0,0
catch,5,1,4,0,3,5,3,1
catching,1,0,2,0,0,1,0,1
catchword,1,0,0,0,0,0,0,0
catechism,1,0,0,0,0,0,0,0
category,1,0,1,0,0,0,0,0
caterpillar,0,0,0,0,1,0,0,0
catfish,0,0,0,0,0,1,0,0
cathedral,1,0,1,0,0,0,0,1
catherine,0,0,2,0,0,0,0,1
catholic,1,0,1,0,0,1,0,0
catila,0,0,1,0,0,0,0,0
catorce,1,0,0,0,0,0,0,0
catsup,0,0,1,0,0,0,0,0
cattle,2,0,0,0,0,1,1,0
caudine,1,0,0,0,0,0,0,0
caught,2,1,3,1,3,8,5,4
cauiifiower,0,0,0,0,0,0,0,1
caumartin,1,0,0,0,0,0,0,0
causal,0,0,1,0,0,0,0,0
causality,0,0,1,0,0,0,0,0
causally,0,0,1,0,0,0,0,0
causation,0,0,1,0,0,0,0,0
cause,22,2,8,0,13,33,16,25
caused,1,0,1,0,0,1,1,1
causes,0,0,2,0,0,0,0,0
causeway,0,1,0,0,0,0,0,0
causing,1,0,3,0,0,0,0,0
caution,2,0,1,0,0,0,0,0
cautious,1,0,2,0,0,0,0,0
cautiously,0,0,1,0,0,0,0,0
cavaignac,1,0,0,0,0,0,0,0
cavalcanti,0,0,0,0,0,1,0,0
cavalier,0,0,0,0,0,0,1,0
cavalry,1,0,0,0,0,1,0,0
cavalryman,1,0,0,0,0,0,0,0
cave,1,0,0,0,0,1,0,0
cavern,1,0,0,0,0,1,0,0
caviar,0,0,2,0,0,2,0,0
caving,1,0,0,0,0,0,0,0
cavity,1,0,0,0,0,0,0,0
cavour,1,0,0,0,0,0,0,0
cc,0,0,1,0,0,0,0,0
cccold,0,0,0,0,1,0,0,0
cdsalice,0,0,0,0,0,0,1,0
ce,0,0,1,0,0,1,0,1
cease,1,0,1,0,0,0,0,0
ceased,1,0,1,0,0,1,0,0
ceaseless,1,0,0,0,0,0,0,0
ceasing,1,0,1,0,0,0,0,0
ceelo,0,0,1,0,0,0,0,0
ceiling,1,1,2,0,1,1,0,3
celebrant,1,0,1,0,0,1,0,0
celebrate,0,0,1,0,0,0,0,0
celebrated,1,0,0,0,0,0,0,0
celebrating,0,0,1,0,0,0,0,0
celebration,1,0,0,0,0,0,0,0
celebrity,1,1,0,0,0,0,0,2
celestial,1,0,1,0,0,0,0,0
cell,1,1,2,1,0,2,0,2
cellar,1,0,0,0,0,0,0,0
cellardamp,0,0,0,0,0,1,0,0
cellophane,0,1,0,0,1,0,0,0
cellphone,0,1,0,0,0,0,0,0
cellular,0,0,1,0,0,0,0,0
cement,0,1,0,0,0,0,0,0
cemetery,1,0,1,0,0,0,0,2
censer,0,0,0,0,0,1,0,0
censure,1,0,0,0,0,0,0,0
cent,1,0,3,0,0,0,0,0
center,0,0,1,0,0,1,0,3
central,1,1,1,0,0,1,0,0
centre,1,0,0,0,0,1,0,0
centrifugal,1,0,0,0,0,0,0,1
century,1,0,1,0,0,2,0,2
ceo,0,1,0,0,0,0,0,0
cept,0,0,0,0,0,1,0,1
ceramic,1,1,1,0,0,0,0,0
cerberus,1,0,0,0,0,0,0,0
cerdonians,0,0,1,0,0,0,0,0
cereal,0,1,0,0,0,0,0,0
cerebral,1,0,0,0,0,0,0,0
ceremonial,1,0,0,0,0,0,0,0
ceremonially,1,0,0,0,0,0,0,0
ceremonious,1,0,0,0,0,0,0,0
ceremony,1,0,1,0,0,0,0,0
cero,0,0,1,0,0,0,0,0
certain,1,1,4,0,3,1,0,1
certainly,2,0,3,0,0,2,0,0
certaintly,1,0,0,0,0,0,0,0
certainty,1,0,0,0,0,0,0,0
certificate,1,0,0,0,0,0,0,0
certified,1,0,1,0,0,0,0,0
certify,1,0,0,0,0,0,0,0
certitude,0,0,0,0,0,1,0,0
cervantes,1,0,0,0,0,0,0,0
cessation,1,0,1,0,0,0,0,0
cesspool,0,0,0,0,0,1,0,0
cest,0,0,0,0,0,1,0,1
cha,0,1,1,0,0,0,0,0
chafe,0,0,0,0,0,0,0,1
chafingdishes,1,0,0,0,0,0,0,0
chain,2,0,4,0,2,2,3,0
chained,1,1,2,0,1,0,0,1
chainsmokers,0,0,1,0,0,0,0,0
chainz,0,0,1,0,0,0,0,0
chair,2,0,2,1,1,4,1,1
chairman,1,0,0,0,0,1,0,0
chaise,2,0,0,0,0,0,0,0
chalet,0,0,0,0,0,0,0,1
chalice,1,0,0,0,0,2,0,0
chalk,1,0,0,0,0,0,0,0
chalked,1,0,1,0,0,0,0,0
challenge,1,0,1,0,0,1,0,0
challenged,1,0,0,0,0,0,0,0
challenging,1,0,0,0,0,0,0,0
chamber,1,0,3,0,0,3,1,1
chambering,0,0,0,0,0,1,0,0
chamberpot,0,0,0,0,0,1,0,0
chambord,1,0,0,0,0,0,0,0
champ,0,0,2,0,0,0,0,0
champagne,2,0,1,0,0,2,0,2
champane,0,0,1,0,0,0,0,0
champion,0,0,1,0,0,2,0,0
champselysées,2,0,0,0,0,0,0,0
chance,3,2,4,1,1,10,1,3
chandon,0,0,0,0,0,1,0,0
chaney,0,0,0,0,0,1,0,0
change,2,2,6,0,5,12,5,12
changeable,1,0,1,0,0,0,0,0
changed,1,0,4,0,4,5,1,0
changesone,0,0,1,0,0,0,0,0
changin,0,0,0,0,0,0,1,0
changing,2,3,2,0,0,0,1,0
channel,1,1,2,0,0,0,0,2
chanoine,1,0,0,0,0,0,0,0
chanoinesse,1,0,0,0,0,0,0,0
chansons,0,0,0,0,0,0,0,1
chant,1,0,0,0,0,1,0,0
chante,0,0,0,0,0,0,0,1
chantel,0,0,1,0,0,0,0,0
chantilly,1,0,0,0,0,0,0,0
chanting,1,0,0,0,0,1,1,0
chaos,1,0,1,0,0,0,0,1
chaosphere,0,0,0,0,0,0,1,0
chaotic,0,0,1,0,0,0,0,0
chap,1,0,0,0,0,1,0,1
chapel,0,0,1,0,0,1,0,0
chapin,0,0,1,0,0,0,0,0
chaplain,1,0,0,0,0,0,0,0
chapman,0,0,1,0,0,0,0,0
chaponay,1,0,0,0,0,0,0,0
chapter,3,0,2,0,0,0,0,0
chaque,0,0,0,0,0,0,0,1
character,1,0,4,0,0,1,0,1
characteristic,1,0,0,0,0,0,0,0
characterizes,0,0,1,0,0,0,0,0
charade,2,0,0,0,0,1,0,0
charcoal,0,0,0,0,0,1,0,0
charcot,2,0,0,0,0,0,0,0
charge,1,1,2,0,0,2,0,1
charged,1,0,0,0,0,1,0,0
charger,1,0,0,0,0,0,0,0
charging,0,0,0,0,0,1,0,0
chargé,1,0,0,0,0,0,0,0
charies,0,0,0,0,0,0,0,1
charieston,0,0,0,0,0,0,0,1
chariot,1,0,0,0,0,0,0,0
charitable,1,0,0,0,0,0,0,0
charity,1,0,0,0,0,1,1,0
charitytytyty,0,0,0,0,0,0,0,1
charlatan,0,0,1,0,0,0,0,0
charles,1,0,3,0,0,0,0,0
charleston,0,0,1,0,0,0,0,0
charley,0,0,0,0,0,0,0,1
charli,0,0,1,0,0,0,0,0
charlie,0,0,2,0,0,1,0,1
charlotte,1,0,1,0,0,0,0,1
charlus,3,0,0,0,0,0,0,0
charm,1,0,0,0,0,1,0,1
charmed,1,0,1,0,0,0,0,0
charming,2,0,2,0,0,2,0,0
charred,0,1,0,0,0,0,0,0
charron,1,0,0,0,0,0,0,0
charrue,0,0,0,0,0,0,0,1
chart,2,1,1,0,0,0,0,0
charted,0,0,0,0,0,0,1,0
charter,1,0,0,0,0,0,0,0
chartres,1,0,0,0,0,0,0,0
chartreuse,1,0,0,0,0,0,0,0
chase,1,0,2,0,0,2,1,2
chased,1,0,0,0,1,1,0,0
chasexspaceout,0,0,1,0,0,0,0,0
chasin,0,0,0,0,0,1,0,0
chasing,1,0,2,0,1,0,1,1
chasseur,1,0,0,0,0,0,0,0
chaste,1,0,0,0,0,0,0,0
chastisement,0,0,0,0,0,1,0,0
chastity,1,0,0,0,0,0,0,0
chateau,0,0,1,0,0,0,0,0
chatter,1,0,0,0,0,0,0,0
chatting,0,0,1,0,0,0,0,0
chauffeured,0,0,0,0,0,0,1,0
chchchanges,0,0,0,0,0,1,0,0
chchchchchanges,0,0,0,0,0,1,0,0
che,0,0,0,0,0,0,0,1
cheap,1,0,3,0,0,2,0,2
cheaply,0,0,0,0,0,1,0,0
cheat,0,0,0,0,0,0,1,0
cheater,0,0,0,0,1,0,0,0
cheatin,0,0,0,0,0,1,0,0
cheating,2,0,0,0,0,1,0,0
checcd,0,0,1,0,0,0,0,0
check,1,1,3,0,2,5,2,2
checked,1,0,2,0,0,1,0,1
checker,0,0,1,0,0,0,0,0
checking,0,0,1,0,0,0,0,0
checkmated,1,0,0,0,0,0,0,0
checkout,0,1,0,0,0,0,0,0
cheddar,1,0,0,0,0,0,0,0
cheek,1,1,1,0,0,1,0,1
cheeky,0,0,0,0,0,0,0,1
cheer,0,0,2,0,0,1,0,1
cheered,0,0,0,0,0,2,0,0
cheerfully,1,0,0,0,0,0,0,0
cheerily,0,0,0,0,0,1,0,0
cheering,0,0,1,0,0,0,0,0
cheerio,0,0,0,0,0,0,0,1
cheerleader,0,0,0,0,0,1,0,0
cheerless,0,0,0,0,0,1,0,0
cheery,0,0,0,0,0,0,0,1
cheese,0,0,2,0,0,0,0,1
cheeseburger,0,0,1,0,0,0,0,0
cheesecake,0,0,0,0,0,0,1,0
chef,0,0,1,0,0,0,0,0
chelsea,0,0,1,0,1,0,0,0
chemical,1,1,1,0,0,1,0,1
chemist,0,0,0,0,0,0,0,1
chemistry,0,0,0,0,0,0,0,1
cheque,1,0,0,0,0,0,0,0
chequered,1,0,0,0,0,0,0,0
cherbuliez,1,0,0,0,0,0,0,0
cheri,1,0,0,0,0,0,0,0
cherish,1,0,0,0,0,0,0,0
cherished,1,0,0,0,0,0,0,0
cherry,2,0,1,0,1,0,1,1
cherub,1,0,0,0,0,0,0,0
cherubic,0,0,1,0,0,0,0,0
cheshire,0,0,1,0,0,0,0,0
chess,0,0,0,0,0,1,0,0
chessboard,1,0,0,0,1,0,0,0
chest,2,1,2,0,0,2,0,2
chester,0,0,0,0,1,0,0,1
chesterfield,0,0,1,0,0,0,0,0
chestnut,1,0,0,0,1,0,0,0
chevreuse,1,0,0,0,0,0,0,0
chevrolets,0,0,0,0,0,1,0,0
chevy,0,0,1,0,0,2,0,0
chew,1,0,1,0,1,0,0,1
chewed,0,0,0,0,0,1,0,0
chewing,0,0,1,0,0,1,0,0
chi,0,0,0,0,0,0,1,0
chiamami,1,0,0,0,0,0,0,0
chiba,0,0,1,0,0,0,0,0
chibas,0,0,1,0,0,0,0,0
chicago,0,0,1,0,0,0,0,0
chichi,0,0,0,0,0,1,0,0
chick,0,0,1,0,0,1,1,0
chicken,1,0,2,0,0,1,0,2
chicoine,0,0,0,0,0,0,0,1
chief,1,0,2,0,1,1,0,0
chiefly,1,0,1,0,0,1,0,0
chieftain,0,0,0,0,0,1,0,0
chiidren,0,0,0,0,0,0,0,1
chiiiy,0,0,0,0,0,0,0,1
child,3,3,5,0,9,14,4,7
childbirth,1,0,0,0,0,0,0,0
childebert,1,0,0,0,0,0,0,0
childhood,1,0,2,0,0,4,1,0
childish,1,0,1,0,0,0,0,0
childishness,1,0,0,0,0,0,0,0
childless,0,1,0,0,0,0,0,0
childlike,1,0,0,0,0,0,0,0
childrens,0,0,0,0,0,0,1,1
childrenyeah,0,0,0,0,1,0,0,0
chili,0,0,2,0,0,0,1,0
chill,1,0,0,0,0,0,0,4
chillin,0,0,1,0,0,0,0,0
chilling,0,0,1,0,0,0,0,0
chilly,1,0,1,0,1,2,0,0
chime,1,0,0,0,1,1,0,0
chimney,1,0,0,0,0,1,0,0
chimpanzee,0,0,0,0,0,0,1,1
chin,2,0,0,0,0,2,0,1
china,2,0,1,0,0,2,0,1
chinaman,1,0,0,0,0,0,0,0
chine,0,0,0,0,0,1,0,0
chinese,1,1,2,0,0,3,0,1
chink,1,0,0,0,0,0,0,0
chip,0,1,1,0,0,0,0,0
chipped,0,1,0,0,0,0,0,0
chiquitas,0,0,0,0,0,1,0,0
chiraq,0,0,1,0,0,0,0,0
chirp,0,0,0,0,0,1,0,0
chirpin,0,0,1,0,0,0,0,0
chirping,0,0,1,0,0,0,0,0
chisel,1,0,0,0,0,0,0,0
chit,1,0,0,0,0,0,0,0
chivas,0,0,1,0,0,0,0,0
chloe,0,0,1,0,0,0,0,0
chloraseptic,0,0,1,0,0,0,0,0
chloris,0,0,0,0,0,0,0,1
choc,0,0,1,0,0,0,0,0
chocolate,2,0,2,0,0,1,0,0
choice,2,1,3,0,0,2,1,2
choicest,1,0,0,0,0,0,0,0
choir,2,0,2,0,0,1,1,0
choiseul,1,0,0,0,0,0,0,0
choke,2,0,1,0,1,0,0,0
choking,2,0,0,0,0,0,0,2
choleric,0,0,1,0,0,0,0,0
choony,0,0,1,0,0,0,0,0
choose,6,0,0,0,0,2,2,3
chooses,0,0,1,0,0,0,0,0
choosing,1,0,1,0,0,1,1,1
chop,1,1,1,0,1,1,0,1
chopping,0,0,1,0,0,0,0,0
chopstick,0,0,1,0,0,0,0,0
chord,0,0,0,0,0,2,0,1
chore,0,0,0,0,0,0,0,1
chorus,1,1,0,0,1,0,0,0
chose,1,0,0,0,0,0,0,2
chosen,1,0,0,0,0,0,1,3
chow,0,0,1,0,0,1,0,0
chowing,0,0,1,0,0,0,0,0
chris,0,0,1,0,0,0,0,0
chrislee,0,0,1,0,0,0,0,0
christ,2,1,3,0,1,1,0,2
christendom,0,0,0,0,0,1,0,0
christian,1,0,1,0,0,1,0,0
christianity,1,0,0,0,0,0,0,0
christina,0,0,1,0,0,0,0,0
christmas,1,0,3,0,0,0,0,0
christopher,0,0,1,0,0,0,0,0
christsake,0,1,0,0,0,0,0,0
chrome,0,0,0,0,1,1,0,0
chronic,0,0,1,0,0,0,0,0
chronicle,0,0,0,0,0,0,1,0
chrysalis,1,0,0,0,0,0,0,0
chuck,0,0,2,0,0,0,0,0
chuffed,0,0,0,0,0,0,0,1
chugalug,0,0,0,0,0,0,0,1
chunk,0,1,0,0,0,0,0,0
chunli,0,0,1,0,0,0,0,0
church,1,0,2,0,2,2,1,1
churn,0,0,0,0,0,0,1,0
churnin,0,0,0,0,0,1,0,0
churning,0,0,0,0,0,0,0,1
chutombébas,0,0,0,0,0,0,0,1
chvostek,0,0,0,0,0,0,0,1
chvrches,0,0,1,0,0,0,0,0
châtellerault,3,0,0,0,0,0,0,0
ci,0,0,0,0,0,0,1,0
cia,0,0,0,0,0,0,0,1
ciara,0,0,1,0,0,0,0,0
ciaran,0,0,1,0,0,0,0,0
ciash,0,0,0,0,0,0,0,1
ciborium,1,0,0,0,0,0,0,0
cicada,0,0,1,0,0,0,0,0
ciceronian,1,0,0,0,0,0,0,0
cider,1,0,0,0,0,0,0,0
cieaned,0,0,0,0,0,0,0,1
ciel,0,0,0,0,0,0,0,1
cigar,1,0,0,0,0,1,0,0
cigarette,2,0,2,0,1,2,1,2
ciint,0,0,0,0,0,0,0,1
cinder,1,0,0,0,0,0,0,0
cinderheart,0,0,0,0,0,0,0,1
cinema,0,0,2,0,0,0,0,0
cinematic,0,0,0,0,0,0,1,0
cinerama,0,0,1,0,0,0,0,0
cineraria,1,0,0,0,0,0,0,0
cinnamon,0,1,0,0,0,0,0,0
ciock,0,0,0,0,0,0,0,1
ciose,0,0,0,0,0,0,0,1
cioset,0,0,0,0,0,0,0,1
ciosing,0,0,0,0,0,0,0,1
ciothing,0,0,0,0,0,0,0,1
cipher,1,0,0,0,0,0,0,0
circle,2,1,4,0,0,2,0,1
circling,0,0,0,0,0,1,0,0
circuit,1,1,0,0,1,0,0,0
circular,1,0,1,0,0,0,0,1
circulating,1,0,0,0,0,0,0,0
circulation,1,0,0,0,0,0,0,0
circumcision,1,0,0,0,0,0,0,0
circumference,1,0,1,0,0,0,0,0
circumfluent,0,0,0,0,0,1,0,0
circumscribed,1,0,0,0,0,0,0,0
circumspect,1,0,0,0,0,0,0,0
circumstance,1,0,0,0,0,1,0,0
circumstances,1,0,0,0,0,0,0,0
circus,1,0,0,0,1,0,0,0
cite,1,0,1,0,0,0,0,0
cited,0,0,1,0,0,0,0,0
citizen,1,1,0,0,1,0,1,0
city,3,2,6,0,0,8,6,4
cityline,0,0,1,0,0,0,0,0
ciub,0,0,0,0,0,0,0,1
civic,1,0,0,0,0,0,0,1
civil,2,0,0,0,0,1,0,0
civilisation,1,0,0,0,0,0,0,0
civility,1,0,0,0,0,0,0,0
civilization,0,0,0,0,0,0,0,1
civilly,1,0,0,0,0,0,0,0
cktrl,0,0,1,0,0,0,0,0
cl,0,0,1,0,0,0,0,0
clack,0,1,0,0,0,0,0,0
clacking,0,0,0,0,0,1,0,0
clad,0,1,0,0,0,1,0,0
claim,1,0,1,0,0,2,3,0
claimed,1,0,1,0,0,0,0,0
clair,0,0,1,0,0,0,0,0
claire,1,0,0,0,0,0,0,1
clairo,0,0,1,0,0,0,0,0
clam,1,0,1,0,0,0,0,0
clamoring,0,1,0,0,0,0,0,0
clamorous,0,0,0,0,0,1,0,0
clamour,0,0,0,0,0,1,0,0
clan,1,0,1,0,0,0,0,0
clanbrassil,0,0,0,0,0,1,0,0
clane,0,0,0,0,0,1,0,0
clangorous,1,0,0,0,0,0,0,0
clap,0,0,0,0,0,0,0,1
clapboard,0,1,0,0,0,0,0,0
clapping,1,0,0,0,0,1,0,0
clapton,0,0,1,0,1,0,0,0
claptrap,0,0,1,0,0,0,0,0
clar,0,0,1,0,0,0,0,0
clara,0,0,1,0,0,0,0,1
clarence,0,0,1,0,0,0,0,0
clarencealabama,0,0,1,0,0,0,0,0
clarified,2,0,0,0,0,0,0,0
clarify,0,0,0,0,1,0,0,0
clarion,1,0,0,0,0,0,0,0
claritas,0,0,0,0,0,1,0,0
clarity,1,0,1,0,0,0,0,0
clark,0,0,1,0,0,1,0,0
clarke,0,0,1,0,0,0,0,0
clash,0,0,2,0,0,1,0,0
clasped,1,0,0,0,0,0,0,0
clasping,1,0,0,0,0,0,0,0
class,2,0,2,0,0,3,2,1
classed,1,0,0,1,0,0,0,0
classic,1,0,1,0,0,1,0,0
classical,1,0,0,0,0,1,0,0
classify,1,0,0,0,0,0,0,0
classmate,0,0,0,0,0,1,0,0
classroom,1,1,0,0,0,2,0,0
classy,0,0,0,0,0,1,0,0
clatter,0,0,0,0,0,1,1,0
claud,0,0,0,0,0,0,0,1
claude,0,0,0,0,0,1,0,1
claudel,1,0,0,0,0,0,0,0
claudelle,0,0,0,0,0,0,0,1
claus,0,0,3,0,0,0,0,0
claustration,1,0,0,0,0,0,0,0
claw,0,1,0,0,0,0,0,0
clawfooted,0,0,1,0,0,0,0,0
clay,1,0,2,0,0,0,0,1
claymore,0,0,0,0,0,1,0,0
clean,1,1,3,0,4,2,5,2
cleaned,0,0,1,0,0,0,0,1
cleaner,0,0,1,0,0,1,0,0
cleaning,1,0,1,0,0,0,0,0
cleanse,0,0,0,0,0,0,0,2
clear,2,1,3,0,3,10,1,4
clearance,0,0,1,0,0,0,0,0
clearcut,1,0,0,0,0,0,0,0
cleared,1,0,0,0,0,0,1,0
clearer,0,0,1,0,0,2,1,0
clearglass,0,0,1,0,0,0,0,0
clearing,2,0,1,0,0,0,0,0
clearly,1,0,3,0,0,1,0,1
clearness,1,0,0,0,0,0,0,0
clearwater,0,0,2,0,0,0,0,0
cleave,0,0,0,0,0,1,0,0
clemenceau,2,0,0,0,0,0,0,0
clemmons,0,0,1,0,0,0,0,0
clench,0,0,0,0,0,1,0,0
clenched,0,1,0,0,0,1,0,0
clenching,1,0,0,0,0,0,0,0
clennon,0,0,0,0,0,0,0,1
cleopatra,1,0,0,0,0,0,0,0
cleopatrick,0,0,1,0,0,0,0,0
clergy,1,0,0,0,0,1,0,0
clergyman,1,0,0,0,0,0,0,0
cleric,2,0,0,0,0,0,0,0
clerical,1,0,0,0,0,0,0,0
clericalism,1,0,0,0,0,0,0,0
clerk,0,0,1,0,0,0,0,0
clever,2,1,0,0,0,0,0,0
cleverer,1,0,0,0,0,0,0,0
cleverest,1,0,0,0,0,0,0,0
clianceand,0,0,1,0,0,0,0,0
clichy,1,0,0,0,0,0,0,0
clichés,0,0,1,0,0,0,0,0
click,0,1,1,0,0,1,0,0
clicking,0,0,1,0,0,1,0,0
client,1,1,1,0,0,1,0,0
clientele,0,0,1,0,0,0,0,0
cliff,1,0,2,0,0,1,0,1
climate,1,0,0,0,0,0,0,0
climax,1,0,0,0,0,0,0,0
climb,2,1,2,0,2,1,0,1
climbed,1,0,0,0,0,1,1,1
climbin,0,0,0,0,0,1,0,0
climbing,1,1,1,0,0,2,0,0
cline,0,0,1,0,0,0,0,0
cling,1,1,1,0,0,1,0,0
clinging,1,0,0,0,0,0,0,0
clinic,0,0,1,0,0,0,0,0
clinical,0,0,0,0,0,1,0,0
clink,1,0,0,0,0,0,0,0
clint,0,0,1,0,0,0,0,0
clip,0,0,1,0,0,0,0,0
clipped,0,0,0,0,0,1,0,0
clique,1,0,0,0,0,0,0,0
clit,0,1,0,0,0,0,0,0
cloak,1,1,0,0,0,3,0,0
clock,7,1,1,0,2,4,1,1
clockmaker,1,0,0,0,0,0,0,0
clocks,1,0,0,0,0,0,0,0
clod,1,0,0,0,0,0,0,0
clodhopper,0,0,0,0,0,1,0,0
cloister,0,0,0,0,0,1,0,0
cloistered,1,0,0,0,0,0,0,0
cloistral,0,0,0,0,0,1,0,0
clongowes,0,0,0,0,0,1,0,0
close,7,1,5,1,2,8,3,6
closed,1,1,1,0,2,3,0,0
closely,1,1,2,0,0,1,0,0
closer,3,1,4,0,1,5,0,2
closest,1,0,0,0,0,0,0,0
closet,1,0,1,0,0,0,0,1
closeted,1,0,0,0,0,0,0,0
closeup,0,0,1,0,0,0,0,0
closing,3,1,1,0,0,4,0,0
closure,0,0,0,0,0,1,0,0
cloth,2,0,0,0,0,2,0,0
clothed,1,0,1,0,0,0,0,0
clothes,1,1,3,0,3,5,3,1
clothing,0,1,0,0,0,0,0,0
cloud,2,1,2,0,3,8,1,1
cloudy,1,0,0,0,0,2,0,0
cloutboi,0,0,1,0,0,0,0,0
clove,0,0,1,0,0,1,0,0
cloven,0,0,0,0,0,1,0,0
clown,1,0,1,0,3,1,0,0
clowning,0,0,1,0,0,0,0,0
clownishness,1,0,0,0,0,0,0,0
club,1,0,3,0,0,2,1,1
clue,2,0,0,0,0,2,0,1
clumsiest,0,0,1,0,0,0,0,0
clumsily,1,0,0,0,0,0,0,0
clumsiness,1,0,0,0,0,0,0,0
clumsy,1,0,0,0,0,0,0,0
clung,1,0,0,0,0,0,0,0
clunking,0,0,1,0,0,0,0,0
cluster,1,1,1,0,0,1,0,0
clustered,1,1,0,0,0,0,0,0
clutch,0,1,0,0,0,0,0,0
clutching,1,0,2,0,0,0,0,0
clutter,0,0,1,0,0,0,0,0
clyde,0,0,1,0,0,0,0,0
clémentine,1,0,0,0,0,0,0,0
cmon,0,1,1,0,1,5,1,1
cnn,0,0,1,0,0,0,0,0
coach,0,1,1,0,0,0,0,0
coachman,1,0,0,0,0,0,0,0
coal,0,0,0,0,2,4,0,0
coarse,1,0,0,0,0,1,0,0
coarsely,0,0,0,0,0,1,0,0
coarseness,1,0,0,0,0,0,0,0
coarser,1,0,0,0,0,1,0,0
coast,0,0,1,0,1,3,0,2
coat,2,1,2,0,2,5,0,0
coated,1,0,0,0,0,0,0,0
coax,1,0,0,0,0,1,0,0
coaxing,1,0,0,0,0,0,0,0
cobain,0,1,0,0,0,0,0,1
cobaye,0,0,0,0,0,0,0,1
cobblestone,0,0,0,0,1,0,0,0
cobbling,1,0,0,0,0,0,0,0
cobourg,1,0,0,0,0,0,0,0
cobwebbed,0,0,0,0,0,1,0,0
cocacola,0,0,0,0,1,1,0,0
cocaine,0,0,2,0,0,1,0,2
coccotti,0,0,1,0,0,0,0,0
coccottis,0,0,1,0,0,0,0,0
coccyx,0,0,0,0,0,0,0,1
cock,1,0,0,0,0,0,0,1
cockatoo,0,0,0,0,0,0,0,1
cocker,0,0,1,0,0,0,0,0
cocking,0,0,1,0,0,0,0,0
cockleshell,0,0,0,0,0,1,0,0
cockpit,0,0,0,0,0,0,1,0
cockroach,0,0,1,0,0,0,0,0
cocktail,0,0,1,0,0,0,0,0
cocky,0,0,1,0,0,0,0,0
coco,0,0,2,0,0,0,0,0
cocoon,1,0,0,0,0,0,0,0
cod,0,0,1,0,0,1,0,0
code,1,1,2,0,0,0,1,1
codefendant,0,0,1,0,0,0,0,0
cody,0,0,1,0,0,0,0,0
coefficient,0,0,0,0,0,1,0,0
coeur,0,0,0,0,0,0,0,1
coffee,1,1,3,0,0,0,0,0
coffeetable,0,0,1,0,0,0,0,0
coffin,1,0,0,0,0,1,0,1
cogent,0,0,1,0,0,0,0,0
cogitation,0,0,2,0,0,0,0,0
cogitative,0,0,2,0,0,0,0,0
cognisance,1,0,0,0,0,0,0,0
cognition,0,0,1,0,0,0,0,0
cognitive,0,0,1,0,0,0,0,0
cognitively,0,0,1,0,0,0,0,0
cognizant,0,0,1,0,0,0,0,0
coherent,1,0,0,0,0,1,0,0
coid,0,0,0,0,0,0,0,1
coiiectibie,0,0,0,0,0,0,0,1
coil,0,0,0,0,0,1,0,0
coiled,0,0,1,0,0,0,0,0
coiling,0,0,0,0,0,1,0,0
coimplicative,0,0,1,0,0,0,0,0
coin,0,0,1,0,0,1,0,1
coincide,1,0,1,0,0,1,0,0
coincidence,2,0,1,0,0,0,0,0
coincides,1,0,0,0,0,0,0,0
coition,0,0,1,0,0,0,0,0
coiumn,0,0,0,0,0,0,0,1
coke,0,0,1,0,0,0,0,1
cola,0,0,1,0,0,1,0,0
colada,0,0,0,0,0,1,0,0
cold,6,3,3,0,8,16,7,6
coldcocks,0,0,2,0,0,0,0,0
colder,2,1,0,0,0,1,0,0
coldhearted,0,0,1,0,0,0,0,0
coldly,1,0,0,0,0,1,1,0
coldness,1,0,0,0,0,0,0,0
coldplay,0,0,1,0,0,0,0,0
cole,0,0,1,0,0,0,0,0
coleman,0,0,1,0,0,0,0,0
colic,1,0,0,0,0,0,0,0
colitas,0,0,0,0,0,1,0,0
collaborating,1,0,0,0,0,0,0,0
collaged,0,1,0,0,0,0,0,0
collapse,0,0,1,0,0,0,1,1
